account,text,hashtags,created_at
facedaoio,Met Web3 friends @Columbia Columbia University ! Getting inspired and empowered. @okx @Monicaweb30 @OnePieceLabs @mheinrich https://t.co/8l3Bxdgg5l,,Sat Apr 13 21:30:03 +0000 2024
facedaoio,RT @Bitcoin: Embrace the rise of #Bitcoin. https://t.co/s66lYO7I4N,Bitcoin,Mon Mar 04 13:38:07 +0000 2024
facedaoio,"Our counting down came to the last 3 numbers. For those who haven’t collect the previous 4 posters: 
1. Like and screenshot the previous counting down posters 
2. Forward the posters to a group chat with minimum 100 members, and screenshot
3. Attend our community meeting on Feb 5 https://t.co/GumVH8vpPR","Facedao,FacePro,FaceTalk,CryptoCommunity,Web3,Airdrop,AirdropAlert,AirdropCrypto",Sun Feb 04 04:28:46 +0000 2024
facedaoio,The grand party is counting down ! #AirdropCrypto #Airdrop #AirdropAlert #Facedao #Facepro https://t.co/DT0ykFRxCj,"AirdropCrypto,Airdrop,AirdropAlert,Facedao,Facepro",Sat Feb 03 02:58:38 +0000 2024
facedaoio,"RT @FaceDOOAngela: Chinese Lunar New Year Special Community Meeting Counting Down ! 
Download Facepro to claim your 100M rewards.
I say $FA…",,Fri Feb 02 04:19:49 +0000 2024
facedaoio,"The Connection 
#Facedao #facememe #memecoins #socialfi https://t.co/zDqM8Nycrl","Facedao,facememe,memecoins,socialfi",Mon Dec 11 08:45:17 +0000 2023
facedaoio,"RT @consensus_fd: Thank you #Facedao team for sponsoring the #Vietnamese community's charity.

New: 
https://t.co/Ums8eskZ1H
https://t.co/3…","Facedao,Vietnamese",Mon Dec 04 16:13:23 +0000 2023
facedaoio,"RT @consensus_fd: 🔅Meme creation game:

❕Rules:
1. Combine figure: #Meme + #Facedao logo bellow.
2. Create any desired meme with a Merry Ch…","Meme,Facedao",Sun Dec 03 12:02:01 +0000 2023
facedaoio,"RT @TrinhThiBeBa: FaceDao to the moon 
🚀🚀🚀🚀🚀🚀🚀🚀
#Facedao #Memefacedao
@consensus_fd @facedaoio @face
@Quanninomarley @Quangrab9999 @QH_Mast…","Facedao,Memefacedao",Sun Dec 03 11:58:53 +0000 2023
facedaoio,"RT @NgcNh37690395: FaceDao to the moon 
tháng 12 may mắn,ăn lành nhé các bạn trẻ yêu mến 💃💃💃💃
🚀🚀🚀🚀🚀🚀🚀🚀
Merry Christmas 🌲🌲🌲🌲🌲☃️☃️☃️☃️☃️❄️❄️…",,Sat Dec 02 13:09:31 +0000 2023
facedaoio,"RT @NgcNh37690395: làm hết mình, chơi hết hồn 🚀🚀🚀🚀💃💃💃💃
FaceDao lên mặt trăng
🚀🚀🚀🚀🚀🚀🚀🚀
Giáng sinh vui vẻ 🌲🌲🌲🌲🌲☃️☃️☃️☃️☃️❄️❄️❄️❄️❄️
#Facedao…",Facedao,Tue Nov 28 09:41:29 +0000 2023
facedaoio,"RT @duocluu1: #facedao
#memeface pepe facedao to the moon 🚀🚀🚀🚀🌍🚀🌍 @consensus_fd @dr_uzuz @facedaoio ❤️❤️❤️❤️❤️🚀🚀🚀🌒🌒 https://t.co/9ulepMLMJq","facedao,memeface",Sat Nov 25 12:52:13 +0000 2023
facedaoio,The $face token withdrawal function from Face-Pro has been reactivated. #Facedao #SocialFi https://t.co/yCT6gSS6jy,"Facedao,SocialFi",Sun Nov 19 15:46:06 +0000 2023
facedaoio,"Face  Survey To Earn Event will be held from Nov.16,2023, 20:00 pm EST - Nov.24,2023, 20:00 pm EST. Please fill out the 'FacePro User Experience Survey' to participate:
https://t.co/Ifb9qpVIKM
#facedao #Face #web3 #SocialFi https://t.co/IMAWPsvxKS","facedao,Face,web3,SocialFi",Fri Nov 17 08:22:13 +0000 2023
facedaoio,"RT @NgcNh37690395: Facedao Trinh conquers the roof of Indochina
#facedao
#memefacedao https://t.co/LMNB8wIsAf","facedao,memefacedao",Wed Nov 15 05:07:57 +0000 2023
facedaoio,"RT @consensus_fd: Event:  ""Steps for the Human""

Rules:
1. For every 1 km the participant will contribute 1,000 VND to a charity fund in Vi…",,Mon Nov 13 09:05:35 +0000 2023
facedaoio,"RT @consensus_fd: How to skin in the game ?

All answer you can discovery here: 👇👇👇
Information: https://t.co/rXtjwbh22i

_________________…",,Sun Nov 12 13:48:17 +0000 2023
facedaoio,"RT @Hai_BangMC12: #Facedao Face dao to the Moon 🚀🚀🚀🌕🌕🌕
@consensus_fd
@facedaoio
@FaceDOOAngela https://t.co/kKAHUL3CPy",Facedao,Sun Nov 12 04:52:36 +0000 2023
facedaoio,"RT @consensus_fd: Collection meme Culture: 

The works are selected to be kept at the address: 
https://t.co/54eknwqeVW

Rewards: 5 million…",,Tue Nov 07 06:34:02 +0000 2023
facedaoio,"RT @TrinhThiBeBa: FaceDao to the moon 
🚀🚀🚀🚀🚀🚀🚀🚀
#Facedao #Memefacedao
@consensus_fd @facedaoio @face 
@NinhKe_HN @bornfreeonekiss @Guodzh h…","Facedao,Memefacedao",Sun Nov 05 14:31:17 +0000 2023
facedaoio,"RT @TrinhThiBeBa: FaceDao to the moon 
🚀🚀🚀🚀🚀🚀🚀🚀
#Facedao #Memefacedao
@consensus_fd @facedaoio @face 
@LnhHSung17 @LBFoster9 @kawadu_ncj ht…","Facedao,Memefacedao",Sun Nov 05 03:38:17 +0000 2023
facedaoio,"RT @NgcNh37690395: coffee with faceao
#facedao
@h https://t.co/D57BjU2NIt",facedao,Thu Nov 02 12:41:41 +0000 2023
facedaoio,"RT @TrinhThiBeBa: FaceDao to the moon 
🚀🚀🚀🚀🚀🚀🚀🚀
#Facedao #Memefacedao
@consensus_fd @facedaoio @face 
@pj_sekai 
@Vtkh_2k4 
@Hoang__369 htt…","Facedao,Memefacedao",Thu Nov 02 10:00:44 +0000 2023
facedaoio,"RT @Cv19Dauladailuc: @consensus_fd 
@duocluu1 
#facedao 
Game hero .... FaceDAO https://t.co/UnrtGJCldC",facedao,Wed Nov 01 13:53:51 +0000 2023
facedaoio,"RT @NgcNh37690395: tag thêm https://t.co/FmDbgGMkSc
#facedao
#facedao
#memefacedao https://t.co/865Kpy2T6r","facedao,facedao,memefacedao",Mon Oct 30 16:58:07 +0000 2023
facedaoio,RT @duocluu1: FACEDAO to the moon 🚀🚀🚀🌍🚀🌍❤️❤️❤️ https://t.co/fTbednDsw3,,Mon Oct 30 16:57:52 +0000 2023
facedaoio,RT @duocluu1: @facedaoio @consensus_fd https://t.co/7ZCI3cqpfq,,Mon Oct 30 16:42:22 +0000 2023
facedaoio,"RT @HTXCommunity: Overall Top Gainers on #HTX
🥇 $POLC
🥈 $BLZ
🥉 $FACE

#Infrastructure
🥇 $BLZ
🥈 $CRU
🥉 $AR

#Meme
🥇 $AIDOGE
🥈 $CAPO
🥉 $BONK…","HTX,Infrastructure,Meme",Mon Oct 30 16:41:58 +0000 2023
facedaoio,"RT @facedaoio: Face meme from Mfer Community  
#Facedao #Face #SocialFi #Web3📷 #meme #facedaomeme #mfers #NFT https://t.co/46dVbmAFMB","Facedao,Face,SocialFi,Web3,meme,facedaomeme,mfers,NFT",Sun Oct 22 18:20:42 +0000 2023
facedaoio,"Face meme from Mfer Community  
#Facedao #Face #SocialFi #Web3📷 #meme #facedaomeme #mfers #NFT https://t.co/46dVbmAFMB","Facedao,Face,SocialFi,Web3,meme,facedaomeme,mfers,NFT",Sun Oct 22 04:15:08 +0000 2023
facedaoio,"RT @consensus_fd: Big Airdrop for Viet Nam women day  20/10.

Wed3 mass adoption: #Miss facedao @facedao.

10.000.000.000 $face give away f…",Miss,Thu Oct 19 09:13:56 +0000 2023
facedaoio,"Last call to join our once in a year Vietnam Women’s Day celebration. Chances to win 1,000,000,000$Face !#Crypto #web3 #vietnam #AirdropAlert https://t.co/SO6sAwYAj7","Crypto,web3,vietnam,AirdropAlert",Wed Oct 18 22:01:45 +0000 2023
facedaoio,Our Vietnam Community will have thrilling activities in response to the Vietnam Women’s Day. Join FacePro and meet your (or become a) VN Goddess! #Vietnam #Vietnamese #Goddess #beauty #web3 #web3community #AirdropAlert https://t.co/Ym9PEkYtDr,"Vietnam,Vietnamese,Goddess,beauty,web3,web3community,AirdropAlert",Wed Oct 18 21:46:40 +0000 2023
facedaoio,"20/10 là ngày Phụ nữ Việt Nam. 

Thân mời các chị em. 
Joint nhóm để tham gia các hoạt động dành riêng cho phái đẹp nha.

Shoping to earn 
Runing to earn 
...........

Rất nhiều game dành cho phái đẹp. 🧧🧧🧧🧧#vietnam #womenpower #vientnamwomenday #socialmedianews https://t.co/W4UvNHsg3a","vietnam,womenpower,vientnamwomenday,socialmedianews,Web3,web3enthusiasts,SocialFi,Airdrop,AirdropAlert,AirdropCrypto",Tue Oct 17 19:26:16 +0000 2023
facedaoio,"For all traditional social media platforms: we came a long way to join you . Make some space for a young kid from the mysterious Web3 world. （Meme credit to Max_G, our valuable community member) #meme #web3 #web3community #socialmedia #Meme #Facebook #instagram #Twitter #YouTube https://t.co/fHxjaJKUJG","meme,web3,web3community,socialmedia,Meme,Facebook,instagram,Twitter,YouTube,Pinterest,linkedin",Sat Oct 14 06:30:32 +0000 2023
